from,to,type
1,1.0,SUBRULE_OF
1,1.1,SUBRULE_OF
1,1.2,SUBRULE_OF
1,1.3,SUBRULE_OF
1,1.4,SUBRULE_OF
1,1.5,SUBRULE_OF
1,1.6,SUBRULE_OF
1,1.7,SUBRULE_OF
1,1.8,SUBRULE_OF
1,1.9,SUBRULE_OF
1,1.10,SUBRULE_OF
2,2.1,SUBRULE_OF
2,2.2,SUBRULE_OF
2.2,2.2.1,SUBRULE_OF
2.2,2.2.2,SUBRULE_OF
2,2.3,SUBRULE_OF
2,2.4,SUBRULE_OF
3,3.1,SUBRULE_OF
3.1,3.1.1,SUBRULE_OF
3.1,3.1.2,SUBRULE_OF
3.1,3.1.3,SUBRULE_OF
3.1,3.1.4,SUBRULE_OF
3,3.2,SUBRULE_OF
3.2,3.2.1,SUBRULE_OF
3.2,3.2.2,SUBRULE_OF
3.2,3.2.3,SUBRULE_OF
3.2,3.2.4,SUBRULE_OF
3.2,3.2.5,SUBRULE_OF
3.2,3.2.6,SUBRULE_OF
3,3.3,SUBRULE_OF
3.3,3.3.1,SUBRULE_OF
3.3.1,3.3.1.1,SUBRULE_OF
3.3.1,3.3.1.2,SUBRULE_OF
3.3.1,3.3.1.3,SUBRULE_OF
3.3,3.3.2,SUBRULE_OF
3.3,3.3.3,SUBRULE_OF
3.3,3.3.4,SUBRULE_OF
3,3.4,SUBRULE_OF
3.4,3.4.1,SUBRULE_OF
3.4,3.4.2,SUBRULE_OF
3.4,3.4.3,SUBRULE_OF
3,3.5,SUBRULE_OF
3.5,3.5.1,SUBRULE_OF
3.5.1,3.5.1.1,SUBRULE_OF
3.5.1,3.5.1.2,SUBRULE_OF
3.5.1,3.5.1.3,SUBRULE_OF
3.5.1,3.5.1.4,SUBRULE_OF
3.5.1,3.5.1.5,SUBRULE_OF
3.5.1,3.5.1.6,SUBRULE_OF
3.5.1,3.5.1.7,SUBRULE_OF
3,3.6,SUBRULE_OF
3.6,3.6.1,SUBRULE_OF
3.6.1,3.6.1.1,SUBRULE_OF
3.6.1,3.6.1.2,SUBRULE_OF
3.6.1,3.6.1.3,SUBRULE_OF
3.6.1,3.6.1.4,SUBRULE_OF
3.6.1,3.6.1.5,SUBRULE_OF
3.6,3.6.2,SUBRULE_OF
3.6.2,3.6.2.1,SUBRULE_OF
3.6.2,3.6.2.2,SUBRULE_OF
3.6.2,3.6.2.3,SUBRULE_OF
3.6.2,3.6.2.4,SUBRULE_OF
3.6.2,3.6.2.5,SUBRULE_OF
3.6,3.6.3,SUBRULE_OF
3.6,3.6.4,SUBRULE_OF
3.6,3.6.5,SUBRULE_OF
3.6,3.6.6,SUBRULE_OF
3.6,3.6.7,SUBRULE_OF
3.6,3.6.8,SUBRULE_OF
3,3.7,SUBRULE_OF
3.7,3.7.1,SUBRULE_OF
3.7,3.7.2,SUBRULE_OF
3.7.2,3.7.2.1,SUBRULE_OF
3.7.2,3.7.2.2,SUBRULE_OF
3,3.8,SUBRULE_OF
3.8,3.8.1,SUBRULE_OF
3.8,3.8.2,SUBRULE_OF
3.8,3.8.3,SUBRULE_OF
3.8,3.8.4,SUBRULE_OF
3.8.4,3.8.4.1,SUBRULE_OF
3.8.4,3.8.4.2,SUBRULE_OF
3.8.4,3.8.4.3,SUBRULE_OF
3.8.4,3.8.4.4,SUBRULE_OF
3.8.4,3.8.4.5,SUBRULE_OF
3.8,3.8.6,SUBRULE_OF
3.8,3.8.7,SUBRULE_OF
3.8,3.8.8,SUBRULE_OF
3.8,3.8.9,SUBRULE_OF
3,3.9,SUBRULE_OF
3.9,3.9.1,SUBRULE_OF
3.9,3.9.2,SUBRULE_OF
3.9,3.9.3,SUBRULE_OF
3.9,3.9.4,SUBRULE_OF
3.9,3.9.5,SUBRULE_OF
3,3.10,SUBRULE_OF
3.10,3.10.1,SUBRULE_OF
3.10,3.10.2,SUBRULE_OF
3.10,3.10.3,SUBRULE_OF
3.10,3.10.4,SUBRULE_OF
3.10,3.10.5,SUBRULE_OF
3.10,3.10.6,SUBRULE_OF
3.10,3.10.7,SUBRULE_OF
3.10,3.10.8,SUBRULE_OF
3.10,3.10.9,SUBRULE_OF
3.10,3.10.10,SUBRULE_OF
3.10,3.10.11,SUBRULE_OF
3.10.11,3.10.11.1,SUBRULE_OF
3.10.11,3.10.11.2,SUBRULE_OF
3.10.11,3.10.11.3,SUBRULE_OF
